CBSA,Days with AQI,Good Days,City,score
"Aberdeen, WA",182,180,Aberdeen,10
"New Castle, PA",31,31,New Castle,10
"Steamboat Springs, CO",273,272,Steamboat Springs,10
"Bremerton-Silverdale, WA",200,196,Bremerton-Silverdale,10
"Show Low, AZ",274,274,Show Low,10
"Ca?on City, CO",274,273,Ca?on City,10
"Sebastian-Vero Beach, FL",235,234,Sebastian-Vero Beach,10
"Centralia, WA",205,202,Centralia,10
"Santa Rosa, CA",182,181,Santa Rosa,10
"Salem, OH",48,48,Salem,10
"Ruidoso, NM",20,20,Ruidoso,10
"Clearlake, CA",31,31,Clearlake,10
"Havre, MT",176,173,Havre,10
"Mount Vernon-Anacortes, WA",213,209,Mount Vernon-Anacortes,10
"Bellingham, WA",208,204,Bellingham,10
"Elko, NV",182,182,Elko,10
"Meridian, MS",214,213,Meridian,10
"Mayaguez, PR",176,176,Mayaguez,10
"Evanston, WY",182,182,Evanston,10
"Los Alamos, NM",20,20,Los Alamos,10
"Lake Havasu City-Kingman, AZ",268,264,Lake Havasu City-Kingman,10
"La Grande, OR",182,179,La Grande,10
"Kahului-Wailuku-Lahaina, HI",182,181,Kahului-Wailuku-Lahaina,10
"Hailey, ID",176,176,Hailey,10
"Houghton, MI",20,20,Houghton,10
"Hilo, HI",241,237,Hilo,10
"Taos, NM",181,181,Taos,10
"Coeur d'Alene, ID",173,173,Coeur d'Alene,10
"Urban Honolulu, HI",183,180,Urban Honolulu,10
"Olympia-Tumwater, WA",211,203,Olympia-Tumwater,9
"Guayama, PR",27,26,Guayama,9
"Chambersburg-Waynesboro, PA",175,171,Chambersburg-Waynesboro,9
"Sandpoint, ID",181,173,Sandpoint,9
"Shelton, WA",213,206,Shelton,9
"Watertown-Fort Drum, NY",273,264,Watertown-Fort Drum,9
"Longview, WA",213,207,Longview,9
"Rockland, ME",295,283,Rockland,9
"Morehead City, NC",243,236,Morehead City,9
"Moscow, ID",182,178,Moscow,9
"Kinston, NC",274,261,Kinston,9
"Summerville, GA",182,173,Summerville,9
"Othello, WA",213,207,Othello,9
