Overall Rank*,Literacy City,Literacy Rate Value,Literacy State,ID_x,Literacy Rate Score,City-State,Cost of Living City,Cost of Living State,Cost of Living Value,ID_y,Cost of Living Score,City_x,State_x,Score,City_y,Crime Cost Value,score_x,State_y,Air Quality Value,City,score_y,State,Literacy Rate Value
1,Ann Arbor,93.71, MI,1,10,Ann Arbor-MI,Ann Arbor,MI,99.3,149,3.0,,,,,,,,,Ann Arbor,,MI,
5,Madison,81.03, WI,5,10,Madison-WI,Madison,WI,99.5,147,3.0,,,,,,,,,Madison,,WI,
13,Huntsville,71.82, AL,13,10,Huntsville-AL,Huntsville,AL,91.3,278,6.0,,,,,,,,,Huntsville,,AL,
16,Colorado Springs,70.18, CO,16,9,Colorado Springs-CO,Colorado Springs,CO,102.2,110,3.0,,,,,,,,,Colorado Springs,,CO,
22,Tallahassee,68.26, FL,22,9,Tallahassee-FL,Tallahassee,FL,96.4,188,4.0,,,,,,,,,Tallahassee,,FL,
31,Asheville,63.31, NC,31,8,Asheville-NC,Asheville,NC,103.3,102,3.0,,,,,,,,,Asheville,,NC,
32,Richmond,62.56, VA,32,8,Richmond-VA,Richmond,VA,99.2,151,3.0,,,,,,,,,Richmond,,VA,
33,Pittsburgh,62.54, PA,33,8,Pittsburgh-PA,Pittsburgh,PA,93.1,237,5.0,,,,,,,,,Pittsburgh,,PA,
35,Salt Lake City,61.82, UT,35,8,Salt Lake City-UT,Salt Lake City,UT,105.9,80,2.0,,,,,,,,,Salt Lake City,,UT,
40,Rochester,61.33, NY,40,8,Rochester-NY,Rochester,NY,96.6,184,4.0,,,,,,,,,Rochester,,NY,
44,Columbus,60.51, OH,44,8,Columbus-OH,Columbus,OH,93.9,220,5.0,,,,,,,,,Columbus,,OH,
46,Tucson,60.28, AZ,46,7,Tucson-AZ,Tucson,AZ,97.7,170,4.0,,,,,,,,,Tucson,,AZ,
50,Boise City,59.38, ID,50,7,Boise City-ID,Boise City,ID,100.3,131,3.0,,,,,,,,,Boise City,,ID,
60,Albuquerque,56.75, NM,60,7,Albuquerque-NM,Albuquerque,NM,92.9,240,5.0,,,,,,,,,Albuquerque,,NM,
61,Columbia,56.7, SC,61,6,Columbia-SC,Columbia,SC,91.9,256,6.0,,,,,,,,,Columbia,,SC,
68,Anchorage,55.98, AK,68,6,Anchorage-AK,Anchorage,AK,110.7,46,1.0,,,,,,,,,Anchorage,,AK,
69,Syracuse,55.37, NY,69,6,Syracuse-NY,Syracuse,NY,95.1,205,5.0,,,,,,,,,Syracuse,,NY,
76,Jacksonville,54.27, FL,76,5,Jacksonville-FL,Jacksonville,FL,99.0,152,3.0,,,,,,,,,Jacksonville,,FL,
77,Reno,54.23, NV,77,5,Reno-NV,Reno,NV,107.4,69,2.0,,,,,,,,,Reno,,NV,
78,Springfield,54.07, MA,78,5,Springfield-MA,Springfield,MA,106.5,74,2.0,,,,,,,,,Springfield,,MA,
81,Akron,53.47, OH,81,4,Akron-OH,Akron,OH,89.4,342,7.0,,,,,,,,,Akron,,OH,
86,Oklahoma City,52.36, OK,86,4,Oklahoma City-OK,Oklahoma City,OK,87.3,415,9.0,,,,,,,,,Oklahoma City,,OK,
88,Savannah,51.9, GA,88,4,Savannah-GA,Savannah,GA,97.3,176,4.0,,,,,,,,,Savannah,,GA,
91,Knoxville,51.24, TN,91,4,Knoxville-TN,Knoxville,TN,91.6,267,6.0,,,,,,,,,Knoxville,,TN,
93,Jackson,50.96, MS,93,4,Jackson-MS,Jackson,MS,87.8,401,8.0,,,,,,,,,Jackson,,MS,
94,Springfield,50.68, MO,94,4,Springfield-MO,Springfield,MO,86.7,439,9.0,,,,,,,,,Springfield,,MO,
96,Peoria,49.89, IL,96,3,Peoria-IL,Peoria,IL,86.7,438,9.0,,,,,,,,,Peoria,,IL,
99,Wichita,49.31, KS,99,3,Wichita-KS,Wichita,KS,86.8,435,9.0,,,,,,,,,Wichita,,KS,
102,Montgomery,48.77, AL,102,3,Montgomery-AL,Montgomery,AL,88.5,370,8.0,,,,,,,,,Montgomery,,AL,
104,Toledo,48.62, OH,104,3,Toledo-OH,Toledo,OH,87.5,410,9.0,,,,,,,,,Toledo,,OH,
106,Fayetteville,47.95, NC,106,3,Fayetteville-NC,Fayetteville,NC,89.5,336,7.0,,,,,,,,,Fayetteville,,NC,
111,Tulsa,45.96, OK,111,2,Tulsa-OK,Tulsa,OK,86.7,437,9.0,,,,,,,,,Tulsa,,OK,
112,Fort Wayne,45.66, IN,112,2,Fort Wayne-IN,Fort Wayne,IN,86.8,434,9.0,,,,,,,,,Fort Wayne,,IN,
113,Winston-Salem,45.56, NC,113,2,Winston-Salem-NC,Winston-Salem,NC,91.2,282,6.0,,,,,,,,,Winston,,Salem,
114,Baton Rouge,45.07, LA,114,2,Baton Rouge-LA,Baton Rouge,LA,91.1,284,6.0,,,,,,,,,Baton Rouge,,LA,
118,Salem,43.63, OR,118,2,Salem-OR,Salem,OR,105.8,82,2.0,,,,,,,,,Salem,,OR,
119,Port St. Lucie,43.1, FL,119,2,Port St. Lucie-FL,Port St. Lucie,FL,101.1,124,3.0,,,,,,,,,Port St. Lucie,,FL,
121,Vallejo,41.79, CA,121,2,Vallejo-CA,Vallejo,CA,125.2,24,1.0,,,,,,,,,Vallejo,,CA,
122,Lancaster,41.41, PA,122,2,Lancaster-PA,Lancaster,PA,99.5,148,3.0,,,,,,,,,Lancaster,,PA,
127,Flint,39.05, MI,127,2,Flint-MI,Flint,MI,85.7,467,10.0,,,,,,,,,Flint,,MI,
131,Mobile,36.67, AL,131,2,Mobile-AL,Mobile,AL,88.3,382,8.0,,,,,,,,,Mobile,,AL,
132,Rockford,36.43, IL,132,2,Rockford-IL,Rockford,IL,87.2,425,9.0,,,,,,,,,Rockford,,IL,
133,Reading,36.01, PA,133,2,Reading-PA,Reading,PA,96.0,191,4.0,,,,,,,,,Reading,,PA,
135,Lafayette,35.08, LA,135,2,Lafayette-LA,Lafayette,LA,89.6,334,7.0,,,,,,,,,Lafayette,,LA,
136,El Paso,32.8, TX,136,1,El Paso-TX,El Paso,TX,88.6,366,8.0,,,,,,,,,El Paso,,TX,
138,Ocala,32.16, FL,138,1,Ocala-FL,Ocala,FL,94.5,212,5.0,,,,,,,,,Ocala,,FL,
140,Fresno,29.24, CA,140,1,Fresno-CA,Fresno,CA,105.9,79,2.0,,,,,,,,,Fresno,,CA,
141,Corpus Christi,29.17, TX,141,1,Corpus Christi-TX,Corpus Christi,TX,93.3,229,5.0,,,,,,,,,Corpus Christi,,TX,
142,Salinas,28.57, CA,142,1,Salinas-CA,Salinas,CA,138.3,12,1.0,,,,,,,,,Salinas,,CA,
145,Stockton,24.51, CA,145,1,Stockton-CA,Stockton,CA,113.6,36,1.0,,,,,,,,,Stockton,,CA,
146,Modesto,18.55, CA,146,1,Modesto-CA,Modesto,CA,112.3,41,1.0,,,,,,,,,Modesto,,CA,
147,Bakersfield,17.73, CA,147,1,Bakersfield-CA,Bakersfield,CA,102.9,105,3.0,,,,,,,,,Bakersfield,,CA,
150,Visalia,9.44, CA,150,1,Visalia-CA,Visalia,CA,103.6,96,2.0,,,,,,,,,Visalia,,CA,
