City,State,Cost of Living Index,ID,Score
San Francisco,CA,178.6,1,1
San Jose,CA,173.5,2,1
Kapaa,HI,164.9,3,1
Santa Cruz,CA,163.9,4,1
Kahului,HI,158.5,5,1
Honolulu,HI,158.0,6,1
Napa,CA,149.6,7,1
Santa Maria,CA,143.0,8,1
Santa Rosa,CA,141.7,9,1
Los Angeles,CA,140.6,10,1
Key West,FL,140.0,11,1
Salinas,CA,138.3,12,1
Hilo,HI,136.9,13,1
San Diego,CA,136.2,14,1
San Luis Obispo,CA,136.1,15,1
Truckee,CA,132.8,16,1
Boston,MA,132.6,17,1
Ventura,CA,132.2,18,1
New York,NY,128.0,19,1
Ukiah,CA,128.0,20,1
Glenwood Springs,CO,127.8,21,1
Bozeman,MT,125.3,22,1
Oak Harbor,WA,125.2,23,1
Vallejo,CA,125.2,24,1
Seattle,WA,124.6,25,1
Barnstable Town,MA,122.4,26,1
Sacramento,CA,120.3,27,1
Washington,DC,120.1,28,1
Stamford,CT,119.2,29,1
Boulder,CO,118.7,30,1
Portland,OR,116.5,31,1
Eureka,CA,116.5,32,1
Riverside,CA,116.1,33,1
Bend,OR,115.9,34,1
Bremerton,WA,115.0,35,1
Stockton,CA,113.6,36,1
Worcester,MA,113.2,37,1
Portland,ME,113.0,38,1
Burlington,VT,112.8,39,1
Kalispell,MT,112.7,40,1
Modesto,CA,112.3,41,1
Denver,CO,112.1,42,1
Bellingham,WA,111.6,43,1
Providence,RI,111.5,44,1
Olympia,WA,110.9,45,1
Anchorage,AK,110.7,46,1
Corvallis,OR,110.6,47,1
Chico,CA,110.5,48,1
Miami,FL,110.1,49,1
Mount Vernon,WA,110.1,50,1
Shelton,WA,109.6,51,2
Manchester,NH,109.6,52,2
Ocean City,NJ,109.5,53,2
Hilton Head Island,SC,109.4,54,2
Naples,FL,109.4,55,2
Fort Collins,CO,109.2,56,2
Port Angeles,WA,109.1,57,2
Madera,CA,108.9,58,2
Clearlake,CA,108.8,59,2
Redding,CA,108.7,60,2
Yuba City,CA,108.7,61,2
Flagstaff,AZ,108.5,62,2
Eugene,OR,108.4,63,2
Concord,NH,108.3,64,2
Merced,CA,108.2,65,2
Fairbanks,AK,107.9,66,2
New Haven,CT,107.7,67,2
Medford,OR,107.5,68,2
Reno,NV,107.4,69,2
Baltimore,MD,107.0,70,2
Grants Pass,OR,106.6,71,2
Austin,TX,106.6,72,2
Wenatchee,WA,106.6,73,2
Springfield,MA,106.5,74,2
Pittsfield,MA,106.4,75,2
Greenfield Town,MA,106.2,76,2
Kingston,NY,106.1,77,2
Greeley,CO,106.1,78,2
Fresno,CA,105.9,79,2
Salt Lake City,UT,105.9,80,2
New London,CT,105.9,81,2
Salem,OR,105.8,82,2
Minneapolis,MN,105.4,83,2
Hanford,CA,105.4,84,2
Albany,OR,105.4,85,2
Torrington,CT,105.2,86,2
Santa Fe,NM,105.1,87,2
California,MD,104.8,88,2
Hartford,CT,104.8,89,2
Crestview,FL,104.7,90,2
Prescott,AZ,104.6,91,2
Sarasota,FL,104.4,92,2
Phoenix,AZ,104.3,93,2
Trenton,NJ,104.3,94,2
Helena,MT,104.2,95,2
Visalia,CA,103.6,96,2
Sevierville,TN,103.5,97,2
Missoula,MT,103.4,98,2
Philadelphia,PA,103.4,99,2
Coeur d'Alene,ID,103.3,100,2
Centralia,WA,103.3,101,2
Asheville,NC,103.3,102,3
Salisbury,MD,103.2,103,3
Carson City,NV,103.0,104,3
Bakersfield,CA,102.9,105,3
Faribault,MN,102.3,106,3
Claremont,NH,102.3,107,3
El Centro,CA,102.3,108,3
Morehead City,NC,102.2,109,3
Colorado Springs,CO,102.2,110,3
Keene,NH,102.1,111,3
